"name","description","created_at","updated_at","id","image_url","position"
"Angular Full Course","Master Angular from scratch and learn how to build production-ready applications","2024-12-30","2024-12-30","a1efb77e-e386-4c5c-84b8-c94a076d2e3d","https://openfeature.dev/assets/images/angular-e44fde5f13b7a1133f850e29d4ff0304.png",1
"Vue.js","Learn the fundamentals of Vue.js","2024-12-30","2024-12-30","854da82d-b4fd-439c-871c-ad887c3bdaaf","https://runcode-app-public.s3.amazonaws.com/images/vuejs-online-editor-compiler.original.png",2
"Node.js","Learn the fundamentals of Node.js and build scalable backend applications","2024-12-30","2024-12-30","ea6984c9-9d4b-4fdb-9016-e1a4397ad3f6","https://upload.wikimedia.org/wikipedia/commons/d/d9/Node.js_logo.svg",4
"Java","Learn the fundamentals of Java programming and object-oriented concepts","2024-12-30","2024-12-30","d096575f-ce61-45fa-a0c0-6c60a7e4319d","https://upload.wikimedia.org/wikipedia/en/3/30/Java_programming_language_logo.svg",5
"Python","Discover Python programming and its use in data science and web development","2024-12-30","2024-12-30","5ddc1196-4949-4b6b-aeb8-f74069a2b1c6","https://upload.wikimedia.org/wikipedia/commons/c/c3/Python-logo-notext.svg",6
"MySQL","Learn how to manage relational databases using MySQL","2024-12-30","2024-12-30","7db692f6-c781-41d9-97f8-989ad9bce9c0","https://upload.wikimedia.org/wikipedia/commons/0/0a/MySQL_textlogo.svg",7
"PostgreSQL","Understand and use PostgreSQL for advanced database management","2024-12-30","2024-12-30","fc24ef5e-242d-44f7-aad4-131d8d967fba","https://upload.wikimedia.org/wikipedia/commons/2/29/Postgresql_elephant.svg",8
"Docker","Master containerization with Docker to build scalable applications","2024-12-30","2024-12-30","8e0d7de9-c2b5-406a-b42a-1c642dbb382e","https://www.docker.com/wp-content/uploads/2022/03/Moby-logo.png",9
"React JS","Learn the fundamentals of React.js","2024-12-30","2024-12-30","0de39780-b98b-465f-ad96-000a92146182","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQ5xTmR1y7vS0lXIk7dhqrIBzDJQGq1XN9nQ&s",NULL
"Kubernetes","Learn Kubernetes for orchestration of containerized applications","2024-12-30","2024-12-30","7d318c01-e666-42ee-91a9-e8e00721a20f","https://atraca.com.br/wp-content/uploads/2024/06/o-que-e-kubernetes.png",10
"Spring","Master Spring Framework to build enterprise-level Java applications","2024-12-30","2024-12-30","08b74d13-d1b7-4c83-a652-736bb668537a","https://miro.medium.com/v2/resize:fit:490/1*aRUnth2T7XPMwCpMHrjfyQ.png",11
"MongoDB","Learn NoSQL database management with MongoDB","2024-12-30","2024-12-30","bf9fb93e-d7fc-4a6a-a545-bec565a25cda","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuhkQN39A5Ldg6DFiEz8HZ0MrUTiM8nG8DGg&s",12
